,UTC time,carbon_intensity,hydro,biomass,wind,solar,unknown,coal,nuclear,nat_gas
0,2019-01-01 00:00:00,410.15,0,1023,5950,0,8009,8451,1941,15464
1,2019-01-01 01:00:00,407.87,0,1033,6151,0,7705,8512,1940,14881
2,2019-01-01 02:00:00,406.49,0,1030,6402,0,7947,8435,1940,14016
3,2019-01-01 03:00:00,404.2,0,1019,6502,0,8274,8020,1941,12933
4,2019-01-01 04:00:00,407.8,0,1028,6696,0,9042,8361,1940,13643
5,2019-01-01 05:00:00,407.1,0,1022,6693,0,8892,8420,1940,14387
6,2019-01-01 06:00:00,404.83,0,1004,6656,0,8908,8074,1940,14278
7,2019-01-01 07:00:00,405.84,0,1033,6416,0,8591,8235,1941,15599
8,2019-01-01 08:00:00,403.83,0,1026,5588,0,9214,7034,1940,18562
9,2019-01-01 09:00:00,396.67,0,988,5678,2,10801,5586,1940,20296
10,2019-01-01 10:00:00,397.95,0,979,5924,7,11750,5604,1941,21008
11,2019-01-01 11:00:00,396.33,0,1003,5952,11,11443,5645,1940,21570
12,2019-01-01 12:00:00,392.09,0,1014,6176,14,10775,5706,1940,21956
13,2019-01-01 13:00:00,392.02,0,949,6415,13,10792,5830,1940,21239
14,2019-01-01 14:00:00,396.09,0,988,6532,5,11184,6337,1940,21390
15,2019-01-01 15:00:00,402.11,0,1022,6678,0,11879,6943,1936,20678
16,2019-01-01 16:00:00,409.27,0,987,6741,0,13628,7258,1939,21583
17,2019-01-01 17:00:00,413.95,0,1010,6772,0,13652,7951,1940,21063
18,2019-01-01 18:00:00,417.86,0,945,6645,0,13450,8347,1940,20622
19,2019-01-01 19:00:00,423.2,0,891,6620,0,13568,8967,1940,20298
20,2019-01-01 20:00:00,429.98,0,911,6705,0,12696,10003,1940,17229
21,2019-01-01 21:00:00,429.7,0,934,6670,0,12382,9743,1940,15350
22,2019-01-01 22:00:00,431.8,0,920,6614,0,11823,9878,1940,13656
23,2019-01-01 23:00:00,422.38,0,959,6453,0,10670,8866,1942,12805
24,2019-01-02 00:00:00,423.32,0,933,6652,0,10543,9110,1944,11863
25,2019-01-02 01:00:00,427.27,0,922,6675,0,10573,9536,1944,11492
26,2019-01-02 02:00:00,427.93,0,930,6745,0,10616,9724,1944,11635
27,2019-01-02 03:00:00,430.23,0,911,6576,0,10483,9856,1944,11796
28,2019-01-02 04:00:00,432.09,0,922,6507,0,10093,10388,1941,12887
29,2019-01-02 05:00:00,440.3,0,920,6188,0,10768,11134,1940,14594
30,2019-01-02 06:00:00,437.69,0,891,6430,0,12820,10978,1936,18421
31,2019-01-02 07:00:00,442.91,0,880,5820,0,13875,11408,1939,22272
32,2019-01-02 08:00:00,444.76,0,866,5345,2,13429,11569,1940,23675
33,2019-01-02 09:00:00,443.06,0,899,5148,7,13869,11037,1940,24449
