,Unnamed: 0,carbon_intensity,UTC time,nuclear,unknown,wind,hydro,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
0,0,65.6,2019-01-01 00:00:00+00:00,8200,2041,5354,2295,11.68605879,270.9702709,265.59191,0.0,0.551904531
1,1,65.92,2019-01-01 01:00:00+00:00,8202,2009,5236,2076,10.77493924,270.9040741,265.675358,0.0,0.23835312
2,2,66.94,2019-01-01 02:00:00+00:00,8198,2009,5011,2039,10.77493924,270.9040741,265.675358,0.0,0.23835312
3,3,66.59,2019-01-01 03:00:00+00:00,8202,1992,4934,2073,10.77493924,270.9040741,265.675358,0.0,0.23835312
4,4,65.75,2019-01-01 04:00:00+00:00,8201,1993,4895,2339,10.28104557,270.6479694,265.3686545,0.0,0.45453228
5,5,66.42,2019-01-01 05:00:00+00:00,8199,2020,4895,2373,10.28104557,270.6479694,265.3686545,0.0,0.45453228
6,6,66.65,2019-01-01 06:00:00+00:00,8202,2067,4837,2725,10.28104557,270.6479694,265.3686545,0.0,0.45453228
7,7,66.51,2019-01-01 07:00:00+00:00,8203,2103,4901,2973,9.519557443,270.7109447,265.3724251,4.225083428,0.167755449
8,8,67.68,2019-01-01 08:00:00+00:00,8198,2152,5032,2901,9.519557443,270.7109447,265.3724251,4.225083428,0.167755449
9,9,68.98,2019-01-01 09:00:00+00:00,8201,2202,5074,2878,9.519557443,270.7109447,265.3724251,4.225083428,0.167755449
10,10,67.25,2019-01-01 10:00:00+00:00,8191,2177,5231,3014,8.719141151,271.0969414,265.5922894,27.49828747,0.329218094
11,11,66.33,2019-01-01 11:00:00+00:00,8200,2188,5465,3115,8.719141151,271.0969414,265.5922894,27.49828747,0.329218094
12,12,66.01,2019-01-01 12:00:00+00:00,8200,2206,5637,3172,8.719141151,271.0969414,265.5922894,27.49828747,0.329218094
13,13,64.73,2019-01-01 13:00:00+00:00,8204,2152,5753,3007,7.856421887,270.6234906,265.5997916,18.02605355,0.1128931
14,14,62.95,2019-01-01 14:00:00+00:00,8204,2157,5951,3391,7.856421887,270.6234906,265.5997916,18.02605355,0.1128931
15,15,61.83,2019-01-01 15:00:00+00:00,8194,2157,6057,3653,7.856421887,270.6234906,265.5997916,18.02605355,0.1128931
16,16,61.7,2019-01-01 16:00:00+00:00,8198,2183,6108,3856,7.218812842,270.3939024,265.5946315,8.881815026,0.262570103
17,17,61.27,2019-01-01 17:00:00+00:00,8201,2189,6171,3983,7.218812842,270.3939024,265.5946315,8.881815026,0.262570103
18,18,60.62,2019-01-01 18:00:00+00:00,8196,2160,6199,3932,7.218812842,270.3939024,265.5946315,8.881815026,0.262570103
19,19,60.67,2019-01-01 19:00:00+00:00,8204,2152,6229,3811,6.829653287,270.210373,265.7195705,0.0,0.087817624
20,20,63.07,2019-01-01 20:00:00+00:00,8202,2156,6249,3048,6.829653287,270.210373,265.7195705,0.0,0.087817624
21,21,63.97,2019-01-01 21:00:00+00:00,8208,2142,6243,2660,6.829653287,270.210373,265.7195705,0.0,0.087817624
22,22,64.6,2019-01-01 22:00:00+00:00,8195,2126,6228,2373,6.629995019,270.068252,265.921734,0.0,0.265004166
23,23,65.01,2019-01-01 23:00:00+00:00,8200,2098,6200,2057,6.629995019,270.068252,265.921734,0.0,0.265004166
24,24,65.63,2019-01-02 00:00:00+00:00,8188,2101,6198,1921,6.629995019,270.068252,265.921734,0.0,0.265004166
25,25,65.57,2019-01-02 01:00:00+00:00,8197,2082,6145,1834,6.076535037,270.5468217,266.7754884,0.0,0.335838936
26,26,65.49,2019-01-02 02:00:00+00:00,8197,2064,6069,1791,6.076535037,270.5468217,266.7754884,0.0,0.335838936
27,27,65.87,2019-01-02 03:00:00+00:00,8193,2079,5984,1892,6.076535037,270.5468217,266.7754884,0.0,0.335838936
28,28,65.41,2019-01-02 04:00:00+00:00,8197,2119,5926,2385,5.811684607,270.8741085,267.3836358,0.0,0.919934685
29,29,63.78,2019-01-02 05:00:00+00:00,8187,2147,5863,3158,5.811684607,270.8741085,267.3836358,0.0,0.919934685
30,30,61.12,2019-01-02 06:00:00+00:00,8184,2216,5747,4700,5.811684607,270.8741085,267.3836358,0.0,0.919934685
31,31,58.71,2019-01-02 07:00:00+00:00,8186,2300,5624,6416,5.827222739,271.7248019,268.3063203,5.263745541,0.838557136
32,32,57.57,2019-01-02 08:00:00+00:00,8180,2349,5556,7377,5.827222739,271.7248019,268.3063203,5.263745541,0.838557136
33,33,57.21,2019-01-02 09:00:00+00:00,8186,2373,5354,7939,5.827222739,271.7248019,268.3063203,5.263745541,0.838557136
34,34,57.41,2019-01-02 10:00:00+00:00,8188,2406,5265,8238,6.153702869,273.0668336,269.5020241,27.3224667,1.854593809
35,35,56.57,2019-01-02 11:00:00+00:00,8192,2367,5070,8432,6.153702869,273.0668336,269.5020241,27.3224667,1.854593809
