Start Time,Original Emission (g),Best Window (6h),Scheduled Emission (6h) (g),Savings (6h) (%),Best Window (12h),Scheduled Emission (12h) (g),Savings (12h) (%),Best Window (24h),Scheduled Emission (24h) (g),Savings (24h) (%)
2026-04-23 00:00:00,350.3954,2026-04-23 05:00:00,286.5895,18.2%,2026-04-23 12:00:00,181.2212,48.3%,2026-04-23 14:45:00,189.3834,46.0%
2026-04-23 00:15:00,344.4945,2026-04-23 05:00:00,286.5895,16.8%,2026-04-23 12:15:00,180.8109,47.5%,2026-04-23 15:00:00,189.5573,45.0%
2026-04-23 00:30:00,335.0636,2026-04-23 06:30:00,303.5384,9.4%,2026-04-23 12:30:00,182.4339,45.6%,2026-04-23 15:30:00,192.7871,42.5%
2026-04-23 00:45:00,320.9189,2026-04-23 06:45:00,277.5619,13.5%,2026-04-23 12:45:00,184.2602,42.6%,2026-04-23 15:15:00,190.8966,40.5%
2026-04-23 01:00:00,315.2325,2026-04-23 07:00:00,254.8514,19.2%,2026-04-23 13:00:00,185.5657,41.1%,2026-04-23 15:00:00,189.5573,39.9%
2026-04-23 01:15:00,314.5587,2026-04-23 07:15:00,244.0301,22.4%,2026-04-23 13:15:00,187.392,40.4%,2026-04-23 15:45:00,192.6425,38.8%
2026-04-23 01:30:00,313.8759,2026-04-23 07:30:00,236.19,24.8%,2026-04-23 13:30:00,189.9242,39.5%,2026-04-23 15:30:00,192.7871,38.6%
2026-04-23 01:45:00,310.3572,2026-04-23 07:45:00,229.4729,26.1%,2026-04-23 13:45:00,190.9404,38.5%,2026-04-23 16:15:00,190.8686,38.5%
2026-04-23 02:00:00,305.9215,2026-04-23 08:00:00,220.878,27.8%,2026-04-23 14:00:00,191.7538,37.3%,2026-04-23 16:15:00,190.8686,37.6%
2026-04-23 02:15:00,303.4794,2026-04-23 08:15:00,217.6065,28.3%,2026-04-23 14:15:00,191.4313,36.9%,2026-04-23 15:15:00,190.8966,37.1%
2026-04-23 02:30:00,301.2673,2026-04-23 08:30:00,215.1943,28.6%,2026-04-23 14:30:00,190.9717,36.6%,2026-04-23 16:00:00,192.4369,36.1%
2026-04-23 02:45:00,297.5884,2026-04-23 08:30:00,215.1943,27.7%,2026-04-23 14:45:00,189.3834,36.4%,2026-04-23 16:00:00,192.4369,35.3%
2026-04-23 03:00:00,295.1065,2026-04-23 09:00:00,207.0954,29.8%,2026-04-23 15:00:00,189.5573,35.8%,2026-04-23 16:15:00,190.8686,35.3%
2026-04-23 03:15:00,296.8246,2026-04-23 09:15:00,205.5719,30.7%,2026-04-23 15:15:00,190.8966,35.7%,2026-04-23 16:45:00,185.1723,37.6%
2026-04-23 03:30:00,298.7319,2026-04-23 09:15:00,205.5719,31.2%,2026-04-23 15:30:00,192.7871,35.5%,2026-04-23 16:30:00,188.6543,36.8%
2026-04-23 03:45:00,296.8194,2026-04-23 09:00:00,207.0954,30.2%,2026-04-23 15:45:00,192.6425,35.1%,2026-04-23 16:15:00,190.8686,35.7%
2026-04-23 04:00:00,291.9098,2026-04-23 09:00:00,207.0954,29.1%,2026-04-23 16:00:00,192.4369,34.1%,2026-04-23 16:15:00,190.8686,34.6%
2026-04-23 04:15:00,286.615,2026-04-23 09:15:00,205.5719,28.3%,2026-04-23 16:15:00,190.8686,33.4%,2026-04-23 16:15:00,190.8686,33.4%
2026-04-23 04:30:00,284.8308,2026-04-23 08:30:00,215.1943,24.4%,2026-04-23 16:30:00,188.6543,33.8%,2026-04-23 16:45:00,185.1723,35.0%
2026-04-23 04:45:00,284.5766,2026-04-23 10:45:00,190.7206,33.0%,2026-04-23 16:30:00,188.6543,33.7%,2026-04-23 16:30:00,188.6543,33.7%
2026-04-23 05:00:00,286.5895,2026-04-23 09:15:00,205.5719,28.3%,2026-04-23 16:00:00,192.4369,32.9%,2026-04-23 16:00:00,192.4369,32.9%
2026-04-23 05:15:00,291.32,2026-04-23 08:45:00,211.1599,27.5%,2026-04-23 16:15:00,190.8686,34.5%,2026-04-23 16:15:00,190.8686,34.5%
2026-04-23 05:30:00,299.0169,2026-04-23 09:30:00,203.0288,32.1%,2026-04-23 16:30:00,188.6543,36.9%,2026-04-23 16:30:00,188.6543,36.9%
2026-04-23 05:45:00,310.2523,2026-04-23 10:00:00,194.5844,37.3%,2026-04-23 16:30:00,188.6543,39.2%,2026-04-23 16:30:00,188.6543,39.2%
2026-04-23 06:00:00,320.4152,2026-04-23 08:30:00,215.1943,32.8%,2026-04-23 16:45:00,185.1723,42.2%,2026-04-23 16:45:00,185.1723,42.2%
2026-04-23 06:15:00,319.2964,2026-04-23 09:15:00,205.5719,35.6%,2026-04-23 15:30:00,192.7871,39.6%,2026-04-23 15:30:00,192.7871,39.6%
2026-04-23 06:30:00,303.5384,2026-04-23 10:30:00,193.3854,36.3%,2026-04-23 15:45:00,192.6425,36.5%,2026-04-23 15:45:00,192.6425,36.5%
2026-04-23 06:45:00,277.5619,2026-04-23 12:45:00,184.2602,33.6%,2026-04-23 16:00:00,192.4369,30.7%,2026-04-23 16:00:00,192.4369,30.7%
2026-04-23 07:00:00,254.8514,2026-04-23 13:00:00,185.5657,27.2%,2026-04-23 15:45:00,192.6425,24.4%,2026-04-23 15:45:00,192.6425,24.4%
2026-04-23 07:15:00,244.0301,2026-04-23 13:15:00,187.392,23.2%,2026-04-23 15:15:00,190.8966,21.8%,2026-04-23 15:15:00,190.8966,21.8%
2026-04-23 07:30:00,236.19,2026-04-23 13:30:00,189.9242,19.6%,2026-04-23 16:45:00,185.1723,21.6%,2026-04-23 16:45:00,185.1723,21.6%
2026-04-23 07:45:00,229.4729,2026-04-23 13:45:00,190.9404,16.8%,2026-04-23 16:45:00,185.1723,19.3%,2026-04-23 16:45:00,185.1723,19.3%
2026-04-23 08:00:00,220.878,2026-04-23 14:00:00,191.7538,13.2%,2026-04-23 16:45:00,185.1723,16.2%,2026-04-23 16:45:00,185.1723,16.2%
2026-04-23 08:15:00,217.6065,2026-04-23 14:15:00,191.4313,12.0%,2026-04-23 16:15:00,190.8686,12.3%,2026-04-23 16:15:00,190.8686,12.3%
2026-04-23 08:30:00,215.1943,2026-04-23 14:30:00,190.9717,11.3%,2026-04-23 15:00:00,189.5573,11.9%,2026-04-23 15:00:00,189.5573,11.9%
2026-04-23 08:45:00,211.1599,2026-04-23 14:45:00,189.3834,10.3%,2026-04-23 17:00:00,185.1495,12.3%,2026-04-23 17:00:00,185.1495,12.3%
2026-04-23 09:00:00,207.0954,2026-04-23 15:00:00,189.5573,8.5%,2026-04-23 15:45:00,192.6425,7.0%,2026-04-23 15:45:00,192.6425,7.0%
2026-04-23 09:15:00,205.5719,2026-04-23 15:15:00,190.8966,7.1%,2026-04-23 15:30:00,192.7871,6.2%,2026-04-23 15:30:00,192.7871,6.2%
2026-04-23 09:30:00,203.0288,2026-04-23 15:30:00,192.7871,5.0%,2026-04-23 16:00:00,192.4369,5.2%,2026-04-23 16:00:00,192.4369,5.2%
2026-04-23 09:45:00,198.7237,2026-04-23 15:00:00,189.5573,4.6%,2026-04-23 15:00:00,189.5573,4.6%,2026-04-23 15:00:00,189.5573,4.6%
2026-04-23 10:00:00,194.5844,2026-04-23 15:15:00,190.8966,1.9%,2026-04-23 15:15:00,190.8966,1.9%,2026-04-23 15:15:00,190.8966,1.9%
2026-04-23 10:15:00,193.5791,2026-04-23 15:15:00,190.8966,1.4%,2026-04-23 15:15:00,190.8966,1.4%,2026-04-23 15:15:00,190.8966,1.4%
2026-04-23 10:30:00,193.3854,2026-04-23 15:15:00,190.8966,1.3%,2026-04-23 15:15:00,190.8966,1.3%,2026-04-23 15:15:00,190.8966,1.3%
2026-04-23 10:45:00,190.7206,2026-04-23 15:45:00,192.6425,0.0%,2026-04-23 15:45:00,192.6425,0.0%,2026-04-24 10:00:00,164.9123,13.5%
2026-04-23 11:00:00,188.2774,2026-04-23 15:45:00,192.6425,0.0%,2026-04-23 15:45:00,192.6425,0.0%,2026-04-24 10:15:00,163.2246,13.3%
2026-04-23 11:15:00,186.6885,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%
2026-04-23 11:30:00,186.2413,2026-04-23 16:30:00,188.6543,0.0%,2026-04-23 16:30:00,188.6543,0.0%,2026-04-24 10:45:00,161.7874,13.1%
2026-04-23 11:45:00,183.8847,2026-04-23 16:00:00,192.4369,0.0%,2026-04-23 16:00:00,192.4369,0.0%,2026-04-24 11:00:00,160.7717,12.6%
2026-04-23 12:00:00,181.2212,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%
2026-04-23 12:15:00,180.8109,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%,2026-04-24 11:30:00,161.731,10.6%
2026-04-23 12:30:00,182.4339,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%,2026-04-24 11:45:00,162.0842,11.2%
2026-04-23 12:45:00,184.2602,2026-04-23 15:15:00,190.8966,0.0%,2026-04-23 15:15:00,190.8966,0.0%,2026-04-24 12:00:00,162.5873,11.8%
2026-04-23 13:00:00,185.5657,2026-04-23 16:00:00,192.4369,0.0%,2026-04-23 16:00:00,192.4369,0.0%,2026-04-24 12:00:00,162.5873,12.4%
2026-04-23 13:15:00,187.392,2026-04-23 16:00:00,192.4369,0.0%,2026-04-23 16:00:00,192.4369,0.0%,2026-04-24 12:30:00,163.0781,13.0%
2026-04-23 13:30:00,189.9242,2026-04-23 16:00:00,192.4369,0.0%,2026-04-23 16:00:00,192.4369,0.0%,2026-04-24 12:45:00,159.4743,16.0%
2026-04-23 13:45:00,190.9404,2026-04-23 16:15:00,190.8686,0.0%,2026-04-23 16:15:00,190.8686,0.0%,2026-04-24 13:00:00,155.1288,18.8%
2026-04-23 14:00:00,191.7538,2026-04-23 14:45:00,189.3834,1.2%,2026-04-23 14:45:00,189.3834,1.2%,2026-04-24 13:15:00,150.8417,21.3%
2026-04-23 14:15:00,191.4313,2026-04-23 15:00:00,189.5573,1.0%,2026-04-23 15:00:00,189.5573,1.0%,2026-04-24 11:30:00,161.731,15.5%
2026-04-23 14:30:00,190.9717,2026-04-23 15:00:00,189.5573,0.7%,2026-04-23 15:00:00,189.5573,0.7%,2026-04-24 13:45:00,149.7806,21.6%
2026-04-23 14:45:00,189.3834,2026-04-23 15:00:00,189.5573,0.0%,2026-04-23 15:00:00,189.5573,0.0%,2026-04-24 12:45:00,159.4743,15.8%
