kind,start time,end time,duration (in seconds),input token,output token,cache read
turn,2026-05-20T19:10:01.204Z,2026-05-20T19:14:16.819Z,255.615,214892,12403,38144
greenclaw-subagent,2026-05-20T19:15:02.115Z,2026-05-20T19:16:12.724Z,70.609,138401,4224,52224
greenclaw-subagent,2026-05-20T19:15:02.341Z,2026-05-20T19:17:36.482Z,154.141,162914,8593,98304
greenclaw-subagent,2026-05-20T19:15:02.408Z,2026-05-20T19:19:51.129Z,288.721,489203,11498,145408
greenclaw-subagent,2026-05-20T19:15:02.684Z,2026-05-20T19:25:20.301Z,617.617,1954182,54261,482176
turn,2026-05-20T19:14:17.003Z,2026-05-20T19:34:31.284Z,1214.281,1652419,142831,1150976
turn,2026-05-20T19:34:31.284Z,2026-05-20T19:39:11.902Z,280.618,883104,39140,0
greenclaw-subagent,2026-05-20T19:40:05.112Z,2026-05-20T19:41:55.431Z,110.319,172643,4828,115200
greenclaw-subagent,2026-05-20T19:40:05.189Z,2026-05-20T19:43:44.204Z,219.015,380495,14567,224256
greenclaw-subagent,2026-05-20T19:40:05.340Z,2026-05-20T19:45:19.412Z,314.072,352981,21780,265216
greenclaw-subagent,2026-05-20T19:40:05.511Z,2026-05-20T19:47:47.810Z,462.299,431826,29512,351232
turn,2026-05-20T19:47:48.102Z,2026-05-20T19:48:27.429Z,39.327,108214,6213,59392
